"","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number","Date_Submittted","Analyte_.Lead.","Result_Lead_.PPB.","Analyte_.Copper.","Result_Copper_.PPB.","Address","City","Zip_Code","Site_Code","Service_Line_Material","Sample_Location","Sentinel_Group_Number"
"387","16-Feb-16","Lead",17,"Copper",50,"E MOORE ST  ","FLINT",48505,"FS0018","Copper","KITCHEN",1,"02-Mar-16","Lead",7,"Copper",0,"E MOORE ST  ","FLINT",48505,"FS0018","Copper","BATHROOM",2,"16-Mar-16","Lead",10,"Copper",60,"E MOORE ST  ","FLINT",48505,"FS0018","Copper","BATHROOM",3,"31-Mar-16","Lead",2,"Copper",0,"E MOORE ST  ","FLINT",48505,"FS0018","Copper","BATHROOM",4
"420","16-Feb-16","Lead",0,"Copper",0,"MONTANA AVE   ","FLINT",48506,"FS0022","Galvanized","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"MONTANA AVE   ","FLINT",48506,"FS0022","Galvanized","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"MONTANA AVE   ","FLINT",48506,"FS0022","Galvanized","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"MONTANA AVE   ","FLINT",48506,"FS0022","Galvanized","KITCHEN",4
"7","16-Feb-16","Lead",0,"Copper",0,"BIRCHCREST DR   ","FLINT",48504,"FS0027","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",0,"BIRCHCREST DR   ","FLINT",48504,"FS0027","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"BIRCHCREST DR   ","FLINT",48504,"FS0027","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",0,"BIRCHCREST DR   ","FLINT",48504,"FS0027","Copper","KITCHEN",4
"8","16-Feb-16","Lead",0,"Copper",280,"CLIO RD   ","FLINT",48504,"FS0029","Copper","BATHROOM",1,"03-Mar-16","Lead",0,"Copper",250,"CLIO RD   ","FLINT",48504,"FS0029","Copper","BATHROOM",2,"17-Mar-16","Lead",0,"Copper",200,"CLIO RD   ","FLINT",48504,"FS0029","Copper","BATHROOM",3,"31-Mar-16","Lead",0,"Copper",170,"CLIO RD   ","FLINT",48504,"FS0029","Copper","BATHROOM",4
"9","16-Feb-16","Lead",0,"Copper",0,"KELLAR AVE   ","FLINT",48504,"FS0030","Copper","KITCHEN",1,"04-Mar-16","Lead",0,"Copper",0,"KELLAR AVE   ","FLINT",48504,"FS0030","Copper","KITCHEN",2,"18-Mar-16","Lead",0,"Copper",90,"KELLAR AVE   ","FLINT",48504,"FS0030","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",70,"KELLAR AVE   ","FLINT",48504,"FS0030","Copper","KITCHEN",4
"394","16-Feb-16","Lead",26,"Copper",0,"MT ELLIOTT AVE  ","FLINT",48504,"FS0046","Copper","KITCHEN",1,"03-Mar-16","Lead",18,"Copper",0,"MT ELLIOTT AVE  ","FLINT",48504,"FS0046","Copper","KITCHEN",2,"16-Mar-16","Lead",34,"Copper",0,"MT ELLIOTT AVE  ","FLINT",48504,"FS0046","Copper","KITCHEN",3,"30-Mar-16","Lead",33,"Copper",0,"MT ELLIOTT AVE  ","FLINT",48504,"FS0046","Copper","BATHROOM",4
"470","16-Feb-16","Lead",2,"Copper",110,"MT ELLIOTT AVE  ","FLINT",48504,"FS0049","Galvanized","BATHROOM",1,"02-Mar-16","Lead",1,"Copper",0,"MT ELLIOTT AVE  ","FLINT",48504,"FS0049","Galvanized","BATHROOM",2,"16-Mar-16","Lead",0,"Copper",0,"MT ELLIOTT AVE  ","FLINT",48504,"FS0049","Galvanized","BATHROOM",3,"30-Mar-16","Lead",0,"Copper",0,"MT ELLIOTT AVE  ","FLINT",48504,"FS0049","Galvanized","BATHROOM",4
"14","16-Feb-16","Lead",0,"Copper",60,"CRAIG DR   ","FLINT",48506,"FS0061","Copper","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",60,"CRAIG DR   ","FLINT",48506,"FS0061","Copper","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",0,"CRAIG DR   ","FLINT",48506,"FS0061","Copper","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",60,"CRAIG DR   ","FLINT",48506,"FS0061","Copper","KITCHEN",4
"308","16-Feb-16","Lead",4,"Copper",120,"SALISHAN CIR   ","FLINT",48506,"FS0063","Copper","KITCHEN",1,"02-Mar-16","Lead",3,"Copper",100,"SALISHAN CIR   ","FLINT",48506,"FS0063","Copper","KITCHEN",2,"16-Mar-16","Lead",3,"Copper",100,"SALISHAN CIR   ","FLINT",48506,"FS0063","Copper","KITCHEN",3,"30-Mar-16","Lead",2,"Copper",80,"SALISHAN CIR   ","FLINT",48506,"FS0063","Copper","KITCHEN",4
"423","16-Feb-16","Lead",0,"Copper",0,"BENNETT AVE   ","FLINT",48506,"FS0075","Galvanized","KITCHEN",1,"02-Mar-16","Lead",0,"Copper",100,"BENNETT AVE   ","FLINT",48506,"FS0075","Galvanized","KITCHEN",2,"16-Mar-16","Lead",0,"Copper",80,"BENNETT AVE   ","FLINT",48506,"FS0075","Galvanized","KITCHEN",3,"30-Mar-16","Lead",0,"Copper",90,"BENNETT AVE   ","FLINT",48506,"FS0075","Galvanized","KITCHEN",4
